Date	2025年07月03日木曜日 09時57分03秒
Spectrometers	SR401765
ダーク	使用
リファレンス	使用
積分時間[msec]	300
平均回数	1
ｽﾑｰｼﾞﾝｸﾞ	5
Electrical Dark	USE
ピクセル数	3648
計測モード	反射率
保存開始波長[nm]	598.495
保存終了波長[nm]	1274.802
保存ﾋﾟｯﾁ波長[nm]	全波長

>>>>>>>>>> Data Start <<<<<<<<<<<<
598.495	27485.199661
598.713	27485.199661
598.931	27485.199661
599.148	27485.199661
599.366	0.000000
599.584	0.000000
599.802	3965.653683
600.020	120.467613
600.238	-45.864446
600.455	90.037898
600.673	73.975923
600.891	84.010137
601.109	87.145330
601.326	86.264632
601.544	83.958720
601.762	83.152497
601.979	82.806204
602.197	82.701192
602.415	82.975908
602.632	82.874168
602.850	82.725037
603.067	82.914384
603.285	83.097714
603.502	82.553440
603.720	82.091619
603.938	82.255956
604.155	82.466020
604.372	82.574720
604.590	82.731362
604.807	82.760237
605.025	82.995921
605.242	83.384145
605.460	83.461327
605.677	83.455258
605.894	83.778645
606.112	84.223087
606.329	84.739735
606.546	85.276146
606.764	85.606581
606.981	85.805369
607.198	85.861646
607.415	85.938985
607.633	86.131334
607.850	86.118372
608.067	85.955256
608.284	85.836618
608.501	85.580729
608.718	85.203784
608.935	84.719614
609.153	84.506733
609.370	84.482108
609.587	84.476075
609.804	84.460163
610.021	84.326181
610.238	84.543481
610.455	84.861456
610.672	84.977379
610.889	85.326498
611.106	85.481123
611.323	85.318741
611.540	85.415131
611.756	85.659524
611.973	85.753079
612.190	85.691222
612.407	85.680793
612.624	85.670537
612.841	85.923465
613.057	86.259498
613.274	86.287158
613.491	86.443398
613.708	87.034819
613.925	87.204594
614.141	86.860554
614.358	86.765015
614.575	86.813290
614.791	86.751519
615.008	86.651065
615.225	86.193533
615.441	85.584197
615.658	85.183407
615.874	85.033784
616.091	85.016236
616.307	84.905147
616.524	84.844654
616.740	84.710334
616.957	84.698020
617.173	84.645753
617.390	84.656244
617.606	84.724637
617.823	85.057741
618.039	85.381710
618.256	85.389601
618.472	85.204615
618.688	85.289674
618.905	85.560343
619.121	85.766615
619.337	85.955130
619.554	86.173521
619.770	86.059180
619.986	85.998579
620.202	86.113777
620.419	86.275380
620.635	86.528952
620.851	86.654770
621.067	86.629870
621.283	86.520581
621.499	86.578760
621.716	86.406008
621.932	86.108496
622.148	85.942524
622.364	85.715661
622.580	85.409976
622.796	85.144899
623.012	84.921705
623.228	84.803683
623.444	84.739216
623.660	84.770281
623.876	84.731661
624.092	84.763219
624.308	84.971419
624.524	85.026193
624.740	85.087881
624.955	84.974111
625.171	84.700983
625.387	84.383340
625.603	84.251308
625.819	84.184734
626.034	84.095443
626.250	83.915454
626.466	83.840656
626.682	83.635871
626.897	83.519337
627.113	83.594659
627.329	83.768002
627.544	83.864956
627.760	83.893022
627.976	83.766676
628.191	83.689267
628.407	83.873541
628.623	84.240260
628.838	84.486198
629.054	84.604491
629.269	84.871402
629.485	84.970416
629.700	85.236488
629.916	85.601640
630.131	85.870746
630.347	86.053808
630.562	85.996895
630.777	85.684037
630.993	85.268741
631.208	84.828745
631.424	84.733556
631.639	84.707264
631.854	84.602215
632.070	84.533759
632.285	84.659869
632.500	84.820589
632.715	84.850158
632.931	84.876577
633.146	84.892246
633.361	84.868744
633.576	85.023149
633.791	84.935591
634.007	84.749715
634.222	84.960427
634.437	84.882079
634.652	84.465655
634.867	84.223732
635.082	84.369127
635.297	84.580897
635.512	84.868465
635.727	85.321653
635.942	85.692505
636.157	86.117562
636.372	86.287217
636.587	85.974133
636.802	85.728353
637.017	85.677867
637.232	85.699605
637.447	85.780933
637.662	85.862823
637.876	85.712093
638.091	85.277841
638.306	84.810249
638.521	84.353347
638.736	84.251001
638.951	84.326556
639.165	84.355442
639.380	84.419212
639.595	84.339677
639.809	84.062548
640.024	83.892246
640.239	84.118272
640.453	84.553362
640.668	84.854832
640.883	85.122449
641.097	85.186585
641.312	85.205135
641.526	85.194771
641.741	85.312183
641.955	85.365979
642.170	85.341028
642.384	85.530459
642.599	85.619590
642.813	85.688389
643.028	86.060809
643.242	86.457808
643.457	86.778319
643.671	86.957768
643.885	86.955487
644.100	86.823981
644.314	86.800620
644.528	86.715387
644.743	86.341129
644.957	85.988550
645.171	85.571359
645.386	84.814813
645.600	84.259720
645.814	83.979516
646.028	83.846865
646.242	83.880067
646.457	83.696745
646.671	83.494013
646.885	83.737653
647.099	84.164106
647.313	84.356869
647.527	84.415734
647.741	84.780079
647.955	85.239347
648.169	85.712238
648.383	86.227192
648.597	86.813906
648.811	87.449482
649.025	87.868600
649.239	87.828221
649.453	87.678408
649.667	87.737952
649.881	88.208890
650.095	88.510278
650.309	88.243235
650.523	87.722996
650.737	87.395572
650.950	87.159591
651.164	87.156788
651.378	87.296703
651.592	87.280269
651.805	87.148363
652.019	87.271879
652.233	87.322328
652.447	87.140144
652.660	87.168966
652.874	87.422541
653.088	87.515871
653.301	87.651118
653.515	87.649739
653.728	87.502143
653.942	87.408309
654.156	87.187948
654.369	86.611780
654.583	85.889234
654.796	85.589643
655.010	85.399393
655.223	85.147317
655.437	84.947855
655.650	84.801972
655.863	84.624795
656.077	84.562519
656.290	84.776179
656.504	85.139221
656.717	85.275978
656.930	85.270987
657.144	85.064196
657.357	85.146378
657.570	85.382435
657.783	85.393126
657.997	85.157150
658.210	84.923804
658.423	84.690828
658.636	84.263876
658.849	83.961443
659.063	84.078158
659.276	84.462026
659.489	84.948917
659.702	85.126743
659.915	84.948926
660.128	84.548670
660.341	84.098571
660.554	83.910043
660.767	83.961826
660.980	84.243070
661.193	84.363549
661.406	84.346235
661.619	84.287568
661.832	84.102982
662.045	84.040972
662.258	84.160045
662.471	84.501026
662.684	84.733511
662.897	84.689418
663.110	84.404353
663.322	83.945906
663.535	83.478640
663.748	83.050687
663.961	82.751713
664.174	82.610885
664.386	82.410561
664.599	82.306127
664.812	82.329887
665.024	82.421833
665.237	82.547282
665.450	82.644710
665.662	82.732850
665.875	82.967842
666.088	83.267009
666.300	83.271157
666.513	83.078568
666.725	82.962882
666.938	82.860957
667.150	82.614438
667.363	82.618208
667.575	82.784498
667.788	82.931182
668.000	83.055891
668.213	83.285873
668.425	83.549555
668.638	83.676301
668.850	83.596697
669.062	83.331160
669.275	83.271173
669.487	83.533364
669.699	83.768592
669.912	83.895899
670.124	83.961934
670.336	83.879740
670.548	83.733420
670.761	83.437286
670.973	83.384089
671.185	83.692667
671.397	84.038465
671.609	84.028040
671.822	83.683890
672.034	83.289955
672.246	82.985914
672.458	82.917263
672.670	83.245058
672.882	83.313041
673.094	83.023080
673.306	82.751247
673.518	82.569999
673.730	82.482979
673.942	82.397883
674.154	82.337318
674.366	82.374390
674.578	82.380818
674.790	82.311956
675.002	82.044801
675.214	81.730841
675.425	81.499969
675.637	81.275600
675.849	80.943630
676.061	80.349606
676.273	79.751959
676.484	79.636954
676.696	79.652992
676.908	79.679997
677.120	79.661989
677.331	79.559087
677.543	79.400171
677.755	79.359014
677.966	79.500785
678.178	79.601353
678.389	79.872346
678.601	80.259428
678.813	80.241223
679.024	79.797717
679.236	79.230671
679.447	78.901059
679.659	78.616833
679.870	78.464735
680.082	78.379530
680.293	78.116292
680.505	78.189902
680.716	78.511936
680.927	78.605417
681.139	78.520246
681.350	78.582611
681.562	78.714717
681.773	78.704418
681.984	78.582900
682.196	78.451601
682.407	78.413713
682.618	78.229562
682.829	77.756098
683.041	77.201126
683.252	76.857076
683.463	76.806682
683.674	76.886109
683.885	76.912963
684.097	76.527657
684.308	76.264878
684.519	76.062740
684.730	75.801085
684.941	75.632194
685.152	75.679765
685.363	75.991715
685.574	76.233050
685.785	76.178148
685.996	75.904315
686.207	75.521569
686.418	75.493847
686.629	75.540792
686.840	75.631539
687.051	75.786079
687.262	76.028575
687.473	75.974871
687.684	75.423842
687.894	74.992673
688.105	74.862403
688.316	74.931424
688.527	75.053940
688.738	74.974137
688.948	74.786245
689.159	74.697301
689.370	74.573406
689.580	74.592279
689.791	74.593925
690.002	74.695734
690.212	74.889307
690.423	74.989287
690.634	74.952032
690.844	75.017022
691.055	75.324601
691.266	75.644698
691.476	75.654252
691.687	75.618682
691.897	75.332718
692.108	75.072460
692.318	74.878223
692.529	74.407166
692.739	73.963118
692.949	73.684870
693.160	73.521543
693.370	73.479182
693.581	73.536093
693.791	73.747481
694.001	73.616476
694.212	73.503986
694.422	73.552104
694.632	73.427495
694.843	73.212736
695.053	73.181499
695.263	73.205131
695.473	72.980429
695.683	72.477504
695.894	71.956808
696.104	71.653934
696.314	71.730503
696.524	71.806724
696.734	71.702253
696.944	71.578799
697.154	71.626958
697.365	71.560339
697.575	71.185844
697.785	70.894247
697.995	70.596419
698.205	70.265270
698.415	69.892546
698.625	69.560442
698.834	69.160127
699.044	68.668170
699.254	68.314897
699.464	67.959488
699.674	67.574328
699.884	67.344543
700.094	67.070540
